organisation_id,territory_name,organisation_vertical,n_days,date_min,date_max,total_spend,total_target,n_active_channels,active_channels,spend_cv,target_cv,spend_target_corr,log_spend_range,score
074c74173cddd7d2aa14cf83841accb5,All Territories,Health,974,2021-09-23,2024-05-23,366191.80392104853,24771,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend', 'tiktok_spend']",0.621870018724198,0.8427184192830417,0.5987785753837858,2.728584860298411,0.5308839668347857
ba773ebd7ec0a08f1d042187d086ccb4,France,Business & Industrial,1529,2020-03-27,2024-06-02,588464.72,72640,3,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend']",0.6963514149206295,0.89046447667975,0.5096173572179346,7.607942619358225,0.5308241750423662
ba773ebd7ec0a08f1d042187d086ccb4,UK,Business & Industrial,1551,2020-03-05,2024-06-02,2880726.61,325066,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.40948378067703034,0.49355995889681736,0.48731851404224474,3.980517159673587,0.5285888209154421
6abecf4bd2d8313b22087e5d00f2412c,All Territories,Other,592,2022-03-13,2023-10-25,505925.140604942,10239,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.8501418966638389,0.6289250788894015,0.7922840624973234,4.90370092520485,0.5272225380557864
eb830407a05a61a3bef88f720abf9500,All Territories,Health,484,2023-01-31,2024-05-28,18658.34,13355,3,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend']",1.0171254266596177,0.8779549308883875,0.8854869399413404,4.087482414611624,0.526461994151505
b01972e6c57c03554eb44d28aa7a92c1,All Territories,Other,747,2021-10-08,2023-10-24,175542.75968519002,19452,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.5703857729443209,0.8307893900143543,0.8062170020342129,4.443585009447672,0.5255570188527257
429c8d00704a9ef6307b49f22d5dfade,US,Business & Industrial,1193,2021-02-13,2024-05-20,2035450.8499999999,205151,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.5711799929082165,0.7736546824589201,0.5919766341364127,2.9151394350199684,0.5250422288235786
5eee795d7a3ae7fef2813691ca333fab,All Territories,,965,2021-10-12,2024-06-02,114760.306647838,71267,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.816655642213823,0.5804195280124161,0.5040662547203117,5.924845009109466,0.520663852973284
4669588367420515992d3cc3d0a1a773,All Territories,,528,2022-12-23,2024-06-02,5256168.575177603,800832,2,"['google_pmax_spend', 'meta_facebook_spend']",1.5186992174269476,0.8731055550999565,0.7544193661357863,3.9553800167873536,0.5135812255868573
c5fbe353800204351f2768f90d703b38,Denmark,Apparel,571,2022-10-28,2024-05-20,7059014.24,86781,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.7393065163488494,1.2003447090535022,0.7866250188191263,3.927904940948374,0.5114430002275103
